Order ID,Customer Name,Category,Sub Category,City,Sales,Profit
OD1,Harish,Oil & Masala,Masalas,Vellore,1254,401.28
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,749,149.8
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2360,165.2
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,896,89.6
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2355,918.45
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2305,322.7
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,826,346.92
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,1847,147.76
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,791,181.93
OD10,Krithika,Bakery,Cakes,Chennai,1795,484.65
OD11,Ganesh,Snacks,Chocolates,Karur,1903,437.69
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,701,308.44
OD13,Sharon,Snacks,Cookies,Dindigul,1659,315.21
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,1277,63.85
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,831,207.75
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,1440,100.8
OD17,Alan,Bakery,Cakes,Dharmapuri,1678,318.82
OD18,Arutra,Beverages,Health Drinks,Bodi,1617,113.19
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,1757,386.54
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,692,159.16
OD21,Hafiz,Beverages,Health Drinks,Vellore,522,208.8
OD22,Alan,Food Grains,Dals & Pulses,Karur,948,47.4
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,707,148.47
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,969,77.52
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,1100,495
OD26,Krithika,Snacks,Chocolates,Tirunelveli,2022,202.2
OD27,Muneer,Snacks,Cookies,Trichy,541,43.28
OD28,Jackson,Bakery,Biscuits,Viluppuram,979,401.39
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,1988,874.72
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,989,69.23
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,1845,166.05
OD32,Mathew,Snacks,Noodles,Vellore,1400,420
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,2163,670.53
OD34,Anu,Oil & Masala,Masalas,Madurai,1689,337.8
OD35,Anu,Beverages,Health Drinks,Vellore,809,80.9
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,1265,569.25
OD37,James,Beverages,Soft Drinks,Salem,934,56.04
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,1354,446.82
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,1751,280.16
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,2045,879.35
OD41,Malik,Beverages,Health Drinks,Namakkal,660,92.4
OD42,Arutra,Beverages,Soft Drinks,Salem,1868,616.44
OD43,Sharon,Snacks,Cookies,Bodi,1017,345.78
OD44,Mathew,Snacks,Cookies,Dharmapuri,2311,1039.95
OD45,Amrish,Bakery,Biscuits,Krishnagiri,1663,731.72
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,1420,355
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,1415,509.4
OD48,Mathew,Snacks,Noodles,Chennai,1488,610.08
OD49,Ridhesh,Snacks,Noodles,Pudukottai,726,43.56
OD50,Amrish,Bakery,Cakes,Ooty,1259,415.47
OD51,Esther,Beverages,Soft Drinks,Salem,902,153.34
OD52,Shah,Beverages,Soft Drinks,Salem,2306,553.44
OD53,Sudha,Bakery,Cakes,Theni,1417,99.19
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,627,181.83
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,760,60.8
OD56,Muneer,Food Grains,Atta & Flour,Salem,2350,611
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,1179,271.17
OD58,Veena,Food Grains,Dals & Pulses,Trichy,1624,194.88
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,1316,421.12
OD60,Shree,Beverages,Health Drinks,Coimbatore,2121,678.72
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,1428,271.32
OD62,Willams,Snacks,Noodles,Perambalur,706,289.46
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,921,184.2
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,1741,661.58
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,607,200.31
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,1824,766.08
OD67,Vinne,Food Grains,Atta & Flour,Madurai,1368,383.04
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,1160,510.4
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,1294,77.64
OD70,Peer,Oil & Masala,Masalas,Ooty,1232,554.4
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,994,357.84
OD72,Yusuf,Snacks,Noodles,Kanyakumari,2468,1011.88
OD73,Alan,Snacks,Cookies,Theni,721,100.94
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,2375,475
OD75,Arvind,Beverages,Soft Drinks,Vellore,1965,117.9
OD76,Veronica,Beverages,Soft Drinks,Bodi,1489,193.57
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,1250,75
OD78,Anu,Snacks,Noodles,Coimbatore,1358,488.88
OD79,Haseena,Snacks,Cookies,Vellore,719,64.71
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2303,621.81
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2027,912.15
OD82,Amy,Food Grains,Atta & Flour,Bodi,1739,765.16
OD83,Komal,Oil & Masala,Spices,Cumbum,990,227.7
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2354,682.66
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,1044,344.52
OD86,Willams,Oil & Masala,Spices,Dindigul,2129,659.99
OD87,Sharon,Food Grains,Rice,Theni,1759,615.65
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,1663,665.2
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2111,189.99
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,1878,450.72
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,769,46.14
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,1241,409.53
OD93,Ravi,Food Grains,Atta & Flour,Madurai,2128,383.04
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,2257,270.84
OD95,Mathew,Snacks,Chocolates,Bodi,1285,218.45
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,1230,442.8
OD97,Sudha,Food Grains,Atta & Flour,Ooty,1856,723.84
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,545,125.35
OD99,Vince,Snacks,Chocolates,Dharmapuri,2301,391.17
OD100,Krithika,Oil & Masala,Spices,Chennai,1475,531
OD101,Adavan,Bakery,Cakes,Coimbatore,2118,910.74
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,1527,671.88
OD103,Vinne,Snacks,Chocolates,Nagercoil,567,175.77
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,969,184.11
OD105,Suresh,Food Grains,Dals & Pulses,Karur,2300,1035
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,1575,78.75
OD107,Sundar,Beverages,Health Drinks,Cumbum,540,108
OD108,Willams,Snacks,Cookies,Tirunelveli,536,176.88
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,556,155.68
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,1179,271.17
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,1487,505.58
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2220,111
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2155,581.85
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,1154,69.24
OD115,Muneer,Snacks,Noodles,Salem,2420,242
OD116,Rumaiza,Snacks,Chocolates,Karur,1305,287.1
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,927,157.59
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,983,186.77
OD119,Akash,Food Grains,Rice,Chennai,903,90.3
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,1235,74.1
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,1243,174.02
OD122,Harish,Bakery,Cakes,Krishnagiri,649,201.19
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2354,188.32
OD124,Anu,Beverages,Soft Drinks,Cumbum,1443,187.59
OD125,Sudeep,Bakery,Breads & Buns,Madurai,975,390
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,889,71.12
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2352,870.24
OD128,Harish,Oil & Masala,Spices,Tirunelveli,1293,336.18
OD129,Sharon,Food Grains,Rice,Bodi,1458,597.78
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,1801,126.07
OD131,Haseena,Snacks,Chocolates,Tenkasi,1261,416.13
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2112,105.6
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,640,140.8
OD134,Shah,Bakery,Cakes,Tenkasi,1658,315.02
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,2373,664.44
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,1430,514.8
OD137,Sundar,Oil & Masala,Spices,Viluppuram,1873,674.28
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,867,329.46
OD139,Malik,Snacks,Noodles,Theni,1101,484.44
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,1088,424.32
OD141,Veena,Bakery,Biscuits,Perambalur,866,381.04
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,2483,223.47
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,1335,293.7
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,765,252.45
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,2403,624.78
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,1551,573.87
OD147,Ridhesh,Food Grains,Organic Staples,Theni,1564,187.68
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,1125,292.5
OD149,Veronica,Beverages,Health Drinks,Tenkasi,768,184.32
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,1985,734.45
OD151,Muneer,Food Grains,Rice,Bodi,2287,1029.15
OD152,Jackson,Snacks,Chocolates,Pudukottai,1016,335.28
OD153,Amy,Snacks,Cookies,Namakkal,852,76.68
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,1233,234.27
OD155,Jonas,Snacks,Noodles,Pudukottai,2236,626.08
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,2188,809.56
OD157,Peer,Snacks,Cookies,Coimbatore,1114,456.74
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,1774,620.9
OD159,Amy,Beverages,Soft Drinks,Karur,2364,1040.16
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,1487,148.7
OD161,Yadav,Beverages,Soft Drinks,Ooty,713,192.51
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,737,280.06
OD163,Amrish,Snacks,Chocolates,Trichy,1004,341.36
OD164,Hussain,Snacks,Cookies,Theni,1516,121.28
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,1442,605.64
OD166,Sudha,Beverages,Health Drinks,Madurai,1690,422.5
OD167,Adavan,Snacks,Chocolates,Bodi,2021,343.57
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2340,491.4
OD169,Krithika,Oil & Masala,Spices,Viluppuram,705,176.25
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,1215,60.75
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,552,237.36
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,1412,564.8
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,791,150.29
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2476,420.92
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,1747,471.69
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,1973,848.39
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,2025,546.75
OD178,Rumaiza,Snacks,Noodles,Vellore,1016,223.52
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,689,55.12
OD180,Krithika,Food Grains,Atta & Flour,Karur,1322,343.72
OD181,Arvind,Snacks,Cookies,Bodi,1605,433.35
OD182,Ravi,Beverages,Health Drinks,Namakkal,1718,171.8
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,2177,783.72
OD184,Surya,Food Grains,Organic Staples,Cumbum,578,236.98
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,782,195.5
OD186,Shah,Snacks,Noodles,Chennai,1388,97.16
OD187,Krithika,Bakery,Cakes,Cumbum,2264,792.4
OD188,Anu,Beverages,Soft Drinks,Pudukottai,813,138.21
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,2015,564.2
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,1433,472.89
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2093,334.88
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2149,623.21
OD193,Anu,Beverages,Health Drinks,Dharmapuri,1972,414.12
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2060,432.6
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,1175,340.75
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,1006,191.14
OD197,Sudeep,Bakery,Breads & Buns,Karur,1409,380.43
OD198,Verma,Food Grains,Organic Staples,Pudukottai,914,338.18
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,1352,527.28
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,682,170.5
OD201,James,Food Grains,Organic Staples,Tirunelveli,1738,243.32
OD202,Vidya,Bakery,Cakes,Salem,2421,484.2
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,2245,404.1
OD204,Akash,Oil & Masala,Masalas,Vellore,896,295.68
OD205,Ram,Oil & Masala,Spices,Virudhunagar,1033,185.94
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,1998,139.86
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,1469,646.36
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,1899,360.81
OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,2194,153.58
OD210,Amrish,Beverages,Soft Drinks,Vellore,1942,504.92
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,609,207.06
OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,2353,423.54
OD213,Peer,Beverages,Soft Drinks,Salem,1591,270.47
OD214,Arutra,Food Grains,Rice,Krishnagiri,1353,527.67
OD215,Jonas,Beverages,Health Drinks,Namakkal,1020,81.6
OD216,Harish,Snacks,Noodles,Ramanadhapuram,1362,177.06
OD217,Sundar,Food Grains,Rice,Krishnagiri,1733,433.25
OD218,Suresh,Oil & Masala,Masalas,Tirunelveli,1949,97.45
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Virudhunagar,2368,876.16
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Pudukottai,2110,485.3
OD221,Ramesh,Food Grains,Dals & Pulses,Madurai,1940,795.4
OD222,Willams,"Eggs, Meat & Fish",Fish,Vellore,1557,638.37
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Madurai,1443,274.17
OD224,Yadav,Beverages,Soft Drinks,Perambalur,2024,910.8
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Viluppuram,2168,563.68
OD226,Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,621,173.88
OD227,Komal,Food Grains,Organic Staples,Madurai,1230,295.2
OD228,Harish,Snacks,Cookies,Salem,560,240.8
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Tenkasi,1286,282.92
OD230,Ramesh,Beverages,Health Drinks,Tenkasi,1242,149.04
OD231,Arvind,Bakery,Breads & Buns,Krishnagiri,717,43.02
OD232,Komal,Beverages,Soft Drinks,Namakkal,1480,444
OD233,Komal,Food Grains,Dals & Pulses,Salem,826,247.8
OD234,Ramesh,Snacks,Cookies,Ooty,1846,276.9
OD235,Mathew,Beverages,Soft Drinks,Viluppuram,2045,552.15
